"Unable to register, errors found: %1","Não foi possível realizar o cadastro, erros encontrados: %1"
"Success, the sub seller id: %1, enable to sales: %2, id getnet: %3","Sucesso, o sub seller id: %1, está habilitado para vendas: %2, id getnet: %3"
"Connection Error: %1","Erro de Conexão: %1"
"The Sub Seller does not have a relationship id on Getnet.","O Sub Seller não tem id de relacionamento na Getnet."
"Get Data to Sub Seller internal code: %1","Obtendo atualização do sub seller: %1"
"Success, sub seller id: %1, enable to sale: %2","Sucesso, sub seller id: %1, habilitado para vendas: %2"
"Error: %1","Erro: %1"
Error,Erro
"The Sub Seller does not have a relationship id on Getnet","O Sub Seller não tem id de relacionamento na Getnet"
"Could not update registration, errors found: %1","Não foi possível atualizar o cadastro, erros encontrados: %1"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Insira e tente novamente."
"Getnet Sub Seller","Getnet Sub Seller"
"Sub Seller Section","Sub Seller Sessão"
Settings,Configuração
"<div class='getnet-payment-logo'></div><div class='getnet-payment-byline'><p><b>Pagamentos Digitais Getnet</b> - Sub Seller</p><p>Com os Pagamentos Digitais Getnet, você tem acesso a soluções completas para oferecer a melhor experiência de pagamento online. Além disso, você pode contar com uma tecnologia de ponta e segurança em todas as transações.</p></div>","<div class='getnet-payment-logo'></div><div class='getnet-payment-byline'><p><b>Pagamentos Digitais Getnet</b> - Sub Seller</p><p>Com os Pagamentos Digitais Getnet, você tem acesso a soluções completas para oferecer a melhor experiência de pagamento online. Além disso, você pode contar com uma tecnologia de ponta e segurança em todas as transações.</p></div>"
"Technical support available <a href=""https://github.com/getnet-adquirencia/payment-magento/issues/new/choose"">here</a>.","Technical support available <a href=""https://github.com/getnet-adquirencia/payment-magento/issues/new/choose"">here</a>."
Credentials,Credentials
"<h4>Attention, The requested data is exclusive to the Administration API.</h4><p>Consult your sales representative to obtain.</p>","<h4>Atenção, os dados solicitados são exclusivos da API Getnet de Adminstração.</h4><p>Consulte seu Representante de Vendas para obter esses dados.</p>"
Environment,Ambiente
"Merchant Id - production","Merchant Id - produção"
"Client Id - production","Client Id - produção" 
"Client Secret - production","Client Secret - produção"
"Merchant Id - homolog","Merchant Id - homologação"
"Client Id - homolog","Client Id - homologação"
"Client Secret - homolog","Client Secret - homologação"
"Merchant Id - Sandbox","Merchant Id - Sandbox"
"Client Id - Sandbox","Client Id - Sandbox"
"Client Secret - Sandbox","Client Secret - Sandbox"
"Sets the list commissions","Defina a lista de comissão"
Commisions,Comissões
Id,Id
"Id Seller on Getnet","Sub Seller Id na Getnet"
